handle,creator_name,campaign_id,platform,base_price,followers,engagement_rate,lang
akarsh.lab,akarsh.lab,00000000-0000-0000-0000-000000000000,Instagram,50,7200,3.52,Hindi
harry.creates.ai,harry.creates.ai,00000000-0000-0000-0000-000000000000,Instagram,50,38300,20.50,English
vik_viral,vik_viral,00000000-0000-0000-0000-000000000000,Instagram,50,6300,7.94,English
ezihowww,ezihowww,00000000-0000-0000-0000-000000000000,Instagram,11,3100,9.24,English
hellowjai,hellowjai,00000000-0000-0000-0000-000000000000,Instagram,50,26600,1.26,Eng/Hindi Mix
s.h.o.y.ai,s.h.o.y.ai,00000000-0000-0000-0000-000000000000,Instagram,50,62800,15.58,English
aadityaxcreate,aadityaxcreate,00000000-0000-0000-0000-000000000000,Instagram,50,7000,10.77,Hindi
kemi_thefreelancegirl,kemi_thefreelancegirl,00000000-0000-0000-0000-000000000000,Instagram,100,5600,1.13,English
vanshh_ai,vanshh_ai,00000000-0000-0000-0000-000000000000,Instagram,50,6100,18.11,English
thekaransonkar,thekaransonkar,00000000-0000-0000-0000-000000000000,Instagram,50,16200,0.76,English
ai_with_poonam,ai_with_poonam,00000000-0000-0000-0000-000000000000,Instagram,50,38000,19.66,English
octaves.ai,octaves.ai,00000000-0000-0000-0000-000000000000,Instagram,50,11400,50.27,English
theorganicwiz,theorganicwiz,00000000-0000-0000-0000-000000000000,Instagram,100,13000,81.80,English
akarsh_ai,akarsh_ai,00000000-0000-0000-0000-000000000000,Instagram,50,52100,0,Hindi
theabhisheik,theabhisheik,00000000-0000-0000-0000-000000000000,Instagram,50,5200,12.30,English
nezi_anuj,nezi_anuj,00000000-0000-0000-0000-000000000000,Instagram,50,74000,19.36,English
thetanishqjainn,thetanishqjainn,00000000-0000-0000-0000-000000000000,Instagram,50,73800,9.57,English
vishall.ai,vishall.ai,00000000-0000-0000-0000-000000000000,Instagram,50,6300,21.21,English
theroshankrishna,theroshankrishna,00000000-0000-0000-0000-000000000000,Instagram,50,121000,1.17,English
kemifrank__,kemifrank__,00000000-0000-0000-0000-000000000000,Instagram,100,19400,38.57,English
the.rexcodes,the.rexcodes,00000000-0000-0000-0000-000000000000,Instagram,100,34600,10.13,English
